,Gebiet,Sachmerkmal,Jahr,Nettoeinkommen
306,Mockau-Nord,Persoenliches Einkommen,2015,"1155,2437662091"
307,Thekla,Persoenliches Einkommen,2015,"1205,32315560565"
308,Plaussig-Portitz,Persoenliches Einkommen,2015,"1459,96324414859"
309,Neustadt-Neuschoenefeld,Persoenliches Einkommen,2015,"947,360843637112"
310,Volkmarsdorf,Persoenliches Einkommen,2015,"924,338287348429"
311,Anger-Crottendorf,Persoenliches Einkommen,2015,"1320,67706251846"
312,Sellerhausen-Stuenz,Persoenliches Einkommen,2015,"1211,96733997694"
313,Paunsdorf,Persoenliches Einkommen,2015,"1204,22404554281"
314,Heiterblick,Persoenliches Einkommen,2015,"1400,26492239537"
315,Moelkau,Persoenliches Einkommen,2015,"1479,59104909432"
316,Engelsdorf,Persoenliches Einkommen,2015,"1496,44038513096"
317,Baalsdorf,Persoenliches Einkommen,2015,"1810,05333331238"
318,Althen-Kleinpoesna,Persoenliches Einkommen,2015,"1578,78731880601"
319,Reudnitz-Thonberg,Persoenliches Einkommen,2015,"1196,28809748242"
320,Stoetteritz,Persoenliches Einkommen,2015,"1523,60704838855"
321,Probstheida,Persoenliches Einkommen,2015,"1496,00157591398"
322,Meusdorf,Persoenliches Einkommen,2015,"1180,92415912393"
323,Liebertwolkwitz,Persoenliches Einkommen,2015,"1372,95561414884"
324,Holzhausen,Persoenliches Einkommen,2015,"1442,10168264056"
325,Suedvorstadt,Persoenliches Einkommen,2015,"1549,69013456476"
326,Connewitz,Persoenliches Einkommen,2015,"1302,1403693914"
327,Marienbrunn,Persoenliches Einkommen,2015,"1483,60343189898"
328,Loessnig,Persoenliches Einkommen,2015,"1108,65184686779"
329,"Doelitz-Doesen,Persoenliches Einkommen,1149","80949230727""",2015,"1407,49912911147"
330,"Schleussig,Persoenliches Einkommen,1164","56017966956""",2015,"1684,48133255746"
331,"Plagwitz,Persoenliches Einkommen,1225","02248661079""",2015,"1423,2728145209"
332,"Kleinzschocher,Persoenliches Einkommen,960","714072472308""",2015,"1473,03984712155"
333,"Grosszschocher,Persoenliches Einkommen,1095","87639447864""",2015,"1436,3651771435"
334,"Knautkleeberg-Knauthain,Persoenliches Einkommen,1150","6422073346""",2015,"1561,96637182497"
335,"Hartmannsdorf-Knautnaundorf,Persoenliches Einkommen,1097","4459160057""",2015,"1560,26836353576"
336,"Schoenau,Persoenliches Einkommen,1044","99386350261""",2015,"1391,70069053101"
337,"Gruenau-Ost,Persoenliches Einkommen,1063","50109594185""",2015,"1150,6893535596"
338,"Gruenau-Mitte,Persoenliches Einkommen,928","989237574649""",2015,"1331,17178240257"
339,"Gruenau-Siedlung,Persoenliches Einkommen,1198","66100062977""",2015,"1651,74733113122"
340,"Lausen-Gruenau,Persoenliches Einkommen,976","025968696877""",2015,"1380,97460535894"
341,"Gruenau-Nord,Persoenliches Einkommen,895","112599069049""",2015,"1279,71040869068"
342,"Miltitz,Persoenliches Einkommen,1181","71001321242""",2015,"1550,99297336722"
343,"Lindenau,Persoenliches Einkommen,893","739774758912""",2015,"1137,32126233122"
344,"Altlindenau,Persoenliches Einkommen,1025","93236873067""",2015,"1420,20284987721"
345,"Neulindenau,Persoenliches Einkommen,1077","43033609746""",2015,"1288,21677524233"
346,"Leutzsch,Persoenliches Einkommen,1133","13320492051""",2015,"1498,2441177064"
347,"Boehlitz-Ehrenberg,Persoenliches Einkommen,1080","37539931653""",2015,"1656,86571420307"
348,"Burghausen-Rueckmarsdorf,Persoenliches Einkommen,1153","49380836073""",2015,"1617,83574392671"
349,"Moeckern,Persoenliches Einkommen,994","130490681782""",2015,"1425,58952352027"
350,"Wahren,Persoenliches Einkommen,1111","27972870703""",2015,"1486,48365349333"
351,"Luetzschena-Stahmeln,Persoenliches Einkommen,1107","99210573493""",2015,"1462,48748849787"
